Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7pF","R_0603_1608Metric",137.125000,-52.900000,0.000000,top
"C2","4.7pF","R_0603_1608Metric",135.300000,-60.400000,0.000000,top
"C3","1nF","R_0603_1608Metric",124.300000,-62.600000,90.000000,top
"C4","220pF","R_0603_1608Metric",93.125000,-69.205000,90.000000,top
"C5","1nF","R_0603_1608Metric",110.350000,-80.305000,0.000000,top
"C6","1nF","C_0603_1608Metric",135.125000,-76.205000,180.000000,top
"C7","1nF","R_0603_1608Metric",134.300000,-56.300000,-90.000000,top
"C8","10uF","C_1210_3225Metric",141.260000,-56.700000,-90.000000,top
"C9","100nF","R_0603_1608Metric",104.925000,-62.405000,90.000000,top
"C10","220pF","R_0603_1608Metric",93.225000,-72.605000,-90.000000,top
"C11","1nF","R_0603_1608Metric",109.125000,-73.660000,0.000000,top
"C12","100nF","C_0603_1608Metric",106.825000,-69.105000,180.000000,top
"C13","1nF","C_0603_1608Metric",116.280000,-65.725000,90.000000,top
"C14","10uF","C_1210_3225Metric",112.530000,-65.520000,-90.000000,top
"C15","27pF","C_0603_1608Metric",124.325000,-73.805000,-90.000000,top
"C16","100nF","C_0603_1608Metric",131.000000,-96.000000,-90.000000,top
"C17","10uF","C_1210_3225Metric",128.000000,-94.500000,-90.000000,top
"C18","100nF","C_0603_1608Metric",133.500000,-94.275000,-90.000000,top
"C19","100nF","C_0603_1608Metric",111.500000,-95.275000,-90.000000,top
"C20","10uF","C_1210_3225Metric",114.000000,-95.500000,-90.000000,top
"C21","10uF","C_1210_3225Metric",121.000000,-97.000000,-90.000000,top
"C22","3.3uF","C_1210_3225Metric",131.500000,-103.000000,90.000000,top
"C23","3.3uF","C_1210_3225Metric",136.000000,-95.000000,90.000000,top
"C24","2.7nF","C_0603_1608Metric",140.000000,-96.000000,90.000000,top
"C25","2.7nF","C_0603_1608Metric",139.500000,-104.000000,90.000000,top
"FB1","FerriteBead","L_0402_1005Metric",131.500000,-93.500000,0.000000,top
"J2","Conn_Coaxial","SMA_Amphenol_132289_EdgeMount",152.637500,-77.805000,0.000000,top
"J3","AudioJack3_Ground","Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",150.000000,-98.500000,-90.000000,top
"L1","DNP","L_1210_3225Metric",116.000000,-58.700000,0.000000,top
"L2","DNP","L_1210_3225Metric",116.100000,-55.200000,0.000000,top
"L3","270nH","L_1210_3225Metric",120.200000,-57.300000,-90.000000,top
"L4","330nH","L_1210_3225Metric",130.000000,-55.000000,-90.000000,top
"L5","330nH","L_1210_3225Metric",130.000000,-60.000000,-90.000000,top
"L6","330nH","L_1210_3225Metric",135.962500,-72.505000,-90.000000,top
"Q1","BC846","SOT-23",119.200000,-65.300000,180.000000,top
"R1","DNP","R_0603_1608Metric",132.600000,-54.300000,-90.000000,top
"R2","DNP","R_0603_1608Metric",132.600000,-59.600000,-90.000000,top
"R3","270R","R_0603_1608Metric",122.400000,-62.525000,90.000000,top
"R4","10k","R_0603_1608Metric",94.825000,-69.205000,-90.000000,top
"R5","10k","R_0603_1608Metric",106.650000,-78.005000,-90.000000,top
"R6","10k","R_0603_1608Metric",106.650000,-81.205000,-90.000000,top
"R7","100R","R_0805_2012Metric",132.562500,-71.105000,0.000000,top
"R8","10R","R_0603_1608Metric",137.665000,-55.540000,0.000000,top
"R9","10k","R_0603_1608Metric",103.530000,-65.580000,180.000000,top
"R10","10k","R_0603_1608Metric",94.825000,-72.605000,-90.000000,top
"R11","10k","R_0603_1608Metric",103.825000,-71.530000,-90.000000,top
"R12","10k","R_0603_1608Metric",103.825000,-74.730000,-90.000000,top
"R13","10k","R_0603_1608Metric",106.835000,-67.505000,0.000000,top
"R14","16.7R","R_0603_1608Metric",131.837500,-76.205000,180.000000,top
"R15","16.7R","R_0603_1608Metric",129.110000,-74.220000,135.000000,top
"R16","16.7R","R_0603_1608Metric",129.090000,-78.160000,-135.000000,top
"R17","1R","R_0603_1608Metric",128.000000,-98.500000,-90.000000,top
"R18","10k","R_0603_1608Metric",134.500000,-103.000000,-90.000000,top
"R19","10k","R_0603_1608Metric",135.675000,-90.500000,180.000000,top
"R20","470R","R_0603_1608Metric",138.500000,-101.500000,0.000000,top
"R21","470R","R_0603_1608Metric",139.325000,-93.500000,0.000000,top
"U1","MAX2606","TSOT-23-6_HandSoldering",125.000000,-57.400000,0.000000,top
"U2","ADEX-10L+","ADEX-10L+",119.225000,-75.145000,0.000000,top
"U3","VAM-6+","SOT-143-Weird",138.562500,-76.805000,0.000000,top
"U4","PL133-27","TDFN2013-6LD-PL-1",106.825000,-62.305000,0.000000,top
"U5","CS4344","TSSOP-10_3x3mm_P0.5mm",119.000000,-92.500000,0.000000,top
